Ano;Tempo de Exposição (s)  (t);"RHreal: Média da umidade relativa da camada carbonatada [%];";"RHref: umidade relativa de referência [%];";Expoente fe [-] ;Expoente ge [-] ;"Ke = Coeficiente ambiental [adimensional];";"bc: expoente da regressão [-]; ";tc: período de cura [d].;"Kc = Coeficiente de condição de cura [adimensional];";Cs = Concentração de CO2 no ar – [%];"W(t) = Coeficiente climático [adimensional];";DCO2 = Coeficiente de difusão no concreto carbonatado;a = Teor de CO2 em 1m³ de concreto;Rc = Resistência  à carbonatação natural do concreto (mm²/anos) /(kg/m³).;Xc (t) Profundidade de carbonatação (mm)
33;1040688000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,284006238;8,913E-08;68,02521;1,31E-09;14,404317
34;1072224000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,28225184;8,913E-08;68,02521;1,31E-09;14,530617
35;1103760000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,280558673;8,913E-08;68,02521;1,31E-09;14,654315
36;1135296000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,27892294;8,913E-08;68,02521;1,31E-09;14,775538
37;1166832000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,277341176;8,913E-08;68,02521;1,31E-09;14,894400
38;1198368000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,275810212;8,913E-08;68,02521;1,31E-09;15,011011
39;1229904000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,274327143;8,913E-08;68,02521;1,31E-09;15,125471
40;1261440000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,272889299;8,913E-08;68,02521;1,31E-09;15,237872
41;1292976000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,27149422;8,913E-08;68,02521;1,31E-09;15,348302
42;1324512000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,270139638;8,913E-08;68,02521;1,31E-09;15,456842
